company,product_name,download_amount,slogan,update_time,download_rankings_amount_1,download_rankings_amount_2,download_rankings_amount_3,download_rankings_amount_4,download_rankings_amount_5,download_rankings_amount_6,download_rankings_amount_7,download_rankings_amount_8,download_rankings_amount_9,download_rankings_amount_10,url
中山市世宇动漫科技有限公司,游艺宝,16.4万下载量,找优惠，用游艺宝,APP更新：2018.01.25,"豌豆荚,暂无,5.3万下载","应用宝,9.4分,4.7万下载","百度手机助手,9.6分,3万下载","华为应用市场,6.0分,1.7万下载","360手机助手,7.6分,1万下载","魅族应用商店,10分,6239下载",,,,,http://www.jobui.com/company/9406098/products/76177/
深圳市迈卡网络科技有限公司,迈卡车生活,7.8万下载量,APP更新：2016.03.26,数据更新：2018.01.28,"百度手机助手,10分,6万下载","应用宝,10分,1.1万下载","豌豆荚,暂无,6615下载","魅族应用商店,暂无,104下载","360手机助手,7.5分,100下载","小米应用商店,暂无,暂无",,,,,http://www.jobui.com/company/11513202/products/23374/
福建就买网电子商务有限公司,印变定制,122.9万下载量,有品好货自己设计,APP更新：2018.01.26,"百度手机助手,10分,44万下载","360手机助手,8.2分,42万下载","应用宝,暂无,21万下载","华为应用市场,9.0分,14.6万下载","魅族应用商店,8.0分,1.1万下载","豌豆荚,10分,2430下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/11140327/products/47589/
杭州美盈网络科技有限公司,一起夺宝,18.5万下载量,一元奇迹，每天每时每刻都在发生哦,APP更新：2016.09.07,"豌豆荚,10分,16.7万下载","应用宝,10分,1.8万下载","360手机助手,6.0分,60下载",,,,,,,,http://www.jobui.com/company/11440045/products/39629/
悟娱（上海）科技有限公司,悟空娱乐岛,46.5万下载量,新人送金豆大礼包,APP更新：2018.01.25,"应用宝,9.8分,24万下载","360手机助手,9.2分,11万下载","百度手机助手,8.2分,9万下载","豌豆荚,暂无,2.4万下载","魅族应用商店,2.0分,604下载","小米应用商店,9.0分,暂无",,,,,http://www.jobui.com/company/14223262/products/30312/
武汉金蝉子网络科技有限公司,闲仓,40.7万下载量,APP更新：2017.09.11,数据更新：2018.01.28,"华为应用市场,6.0分,20万下载","魅族应用商店,10分,10.7万下载","百度手机助手,暂无,10万下载","小米应用商店,10分,暂无",,,,,,,http://www.jobui.com/company/13908366/products/68331/
福建冻品在线网络科技有限公司,冻品在线,9.2万下载量,冻品在线,APP更新：2017.12.21,"应用宝,10分,6.1万下载","百度手机助手,2.0分,2万下载","豌豆荚,暂无,7845下载","魅族应用商店,暂无,2805下载",,,,,,,http://www.jobui.com/company/12517695/products/30451/
郑州市中奥网络技术有限公司,UU898,27.1万下载量,APP更新：2017.08.23,数据更新：2018.01.28,"豌豆荚,5.0分,22.1万下载","应用宝,4.4分,5万下载","小米应用商店,3.0分,暂无",,,,,,,,http://www.jobui.com/company/8885050/products/39497/
锦江之星旅馆有限公司,锦江之星,6.9万下载量,APP更新：2016.08.30,数据更新：2018.01.28,"百度手机助手,暂无,5万下载","豌豆荚,暂无,1.9万下载",,,,,,,,,http://www.jobui.com/company/73645/products/15021/
中国建设银行股份有限公司,建行善融商城,370.6万下载量,APP更新：2018.01.09,数据更新：2018.01.29,"华为应用市场,5.0分,153.7万下载","应用宝,5.0分,91万下载","豌豆荚,3.8分,65.4万下载","360手机助手,5.3分,41万下载","魅族应用商店,8.4分,19.6万下载",,,,,,http://www.jobui.com/company/599806/products/78256/
浙江爱挑趣科技有限公司,性之助,653.4万下载量,两性成人情趣社区,APP更新：2017.11.13,"豌豆荚,8.9分,602.4万下载","应用宝,10分,51万下载","360手机助手,6.0分,345下载",,,,,,,,http://www.jobui.com/company/13816822/products/30300/
北京古城堡图书有限公司,孔夫子旧书网,234.5万下载量,特价书艺术品收藏,APP更新：2018.01.20,"华为应用市场,5.0分,80.4万下载","豌豆荚,4.5分,59.3万下载","百度手机助手,7.5分,39万下载","应用宝,7.8分,25万下载","360手机助手,6.2分,16万下载","魅族应用商店,8.6分,14.8万下载","苹果应用市场,8.0分,暂无","小米应用商店,4.0分,暂无",,,http://www.jobui.com/company/4287852/products/13241/
福建福诺移动通信技术有限公司,12580惠生活,12.8万下载量,集吃喝玩乐行于一体的本地生活服务小帮手,APP更新：2016.03.30,"豌豆荚,暂无,5.6万下载","360手机助手,6.9分,3万下载","百度手机助手,10分,2万下载","应用宝,7.4分,1.8万下载","魅族应用商店,5.4分,4258下载",,,,,,http://www.jobui.com/company/29602/products/52206/
百合网股份有限公司,百合网婚礼,8.4万下载量,新人筹婚必备利器,APP更新：2017.12.15,"华为应用市场,4.0分,6.1万下载","应用宝,9.0分,1.5万下载","魅族应用商店,暂无,3681下载","百度手机助手,暂无,2072下载","360手机助手,6.0分,1007下载","豌豆荚,暂无,769下载","苹果应用市场,10分,暂无","小米应用商店,暂无,暂无",,,http://www.jobui.com/company/12629232/products/54445/
武汉数游信息技术有限公司,泡泡手游,49.4万下载量,手游充值自动打折,APP更新：2017.08.24,"豌豆荚,暂无,45.7万下载","应用宝,7.8分,2.2万下载","百度手机助手,4.5分,1万下载","魅族应用商店,4.8分,5313下载",,,,,,,http://www.jobui.com/company/11606629/products/76213/
河南酒便利商业股份有限公司,酒便利,58.5万下载量,专业酒水连锁零售,APP更新：2018.01.19,"华为应用市场,5.0分,31.4万下载","应用宝,4.6分,6.4万下载","百度手机助手,10分,6万下载","360手机助手,7.5分,5万下载","豌豆荚,暂无,4.2万下载","OPPO软件商店,7.0分,3万下载","魅族应用商店,8.0分,2.5万下载","苹果应用市场,6.0分,暂无","小米应用商店,9.0分,暂无",,http://www.jobui.com/company/13218502/products/13381/
北京德立信息科技有限公司,一元夺宝,34.4万下载量,一元夺宝惊喜无限,APP更新：2017.07.05,"应用宝,9.8分,30万下载","百度手机助手,5.2分,4万下载","豌豆荚,暂无,4140下载",,,,,,,,http://www.jobui.com/company/11958490/products/76218/
禹州市鼎盛电子商务有限公司,查券,11.4万下载量,领取淘宝优惠券,APP更新：2017.12.12,"应用宝,10分,4.1万下载","华为应用市场,7.0分,3.5万下载","魅族应用商店,10分,1.5万下载","百度手机助手,5.4分,1万下载","豌豆荚,暂无,9900下载","360手机助手,8.1分,3437下载",,,,,http://www.jobui.com/company/14607779/products/75263/
诺心食品(上海)有限公司,诺心蛋糕,29.2万下载量,诺心蛋糕,APP更新：2017.12.20,"华为应用市场,5.0分,11.9万下载","应用宝,7.6分,10万下载","百度手机助手,8.0分,3万下载","360手机助手,6.5分,2万下载","魅族应用商店,8.0分,1.2万下载","豌豆荚,暂无,1.1万下载","苹果应用市场,8.0分,暂无","小米应用商店,3.0分,暂无",,,http://www.jobui.com/company/10614951/products/13807/
安徽菜菜电子商务有限公司,呆萝卜,5.9万下载量,APP更新：2018.01.18,数据更新：2018.01.29,"百度手机助手,暂无,2万下载","应用宝,9.4分,1.8万下载","豌豆荚,10分,1.7万下载","360手机助手,6.0分,4013下载",,,,,,,http://www.jobui.com/company/12667494/products/39516/
济南万商维盟广告传媒有限公司,万商惠,17.9万下载量,今天，你领钱了吗,APP更新：2017.12.21,"应用宝,10分,5.6万下载","华为应用市场,8.0分,3.4万下载","OPPO软件商店,7.0分,3万下载","百度手机助手,10分,3万下载","豌豆荚,暂无,1.3万下载","360手机助手,7.8分,9159下载","魅族应用商店,10分,7037下载","小米应用商店,7.0分,暂无",,,http://www.jobui.com/company/12128817/products/22649/
上海秉钧网络科技股份有限公司,话客,56.5万下载量,APP更新：2015.05.22,数据更新：2018.01.28,"百度手机助手,9.8分,29万下载","360手机助手,9.8分,19万下载","应用宝,9.6分,5万下载","豌豆荚,暂无,3.3万下载","华为应用市场,7.0分,1602下载","魅族应用商店,7.0分,467下载",,,,,http://www.jobui.com/company/12766947/products/52281/
广州昊王皮具有限公司,哈淘微分销,26.7万下载量,APP更新：2016.12.23,数据更新：2018.01.28,"百度手机助手,8.6分,18万下载","豌豆荚,5.0分,7.7万下载","应用宝,8.0分,1万下载","魅族应用商店,暂无,448下载","小米应用商店,暂无,暂无",,,,,,http://www.jobui.com/company/1249062/products/47603/
湖南三众商业运营有限公司,瓦力购,9.3万下载量,你的神秘折扣商城,APP更新：2017.10.09,"应用宝,10分,5.2万下载","百度手机助手,暂无,3万下载","豌豆荚,暂无,1.1万下载","360手机助手,6.0分,149下载","小米应用商店,暂无,暂无",,,,,,http://www.jobui.com/company/13309926/products/70687/
北京点开科技有限公司,点赚红包,325.6万下载量,每个点送8.88,APP更新：2017.10.09,"豌豆荚,8.3分,133.1万下载","百度手机助手,9.4分,93万下载","OPPO软件商店,10分,45万下载","360手机助手,8.6分,40万下载","应用宝,9.8分,8.1万下载","魅族应用商店,9.8分,6.4万下载","小米应用商店,9.0分,暂无",,,,http://www.jobui.com/company/12196626/products/30856/
北京昆达天元科技股份有限公司,一起买买买,181.5万下载量,淘宝天猫优惠券,APP更新：2018.01.25,"应用宝,10分,84万下载","华为应用市场,6.0分,49.1万下载","豌豆荚,4.5分,17.3万下载","魅族应用商店,6.6分,13万下载","百度手机助手,暂无,10万下载","360手机助手,7.8分,8万下载","小米应用商店,9.0分,暂无",,,,http://www.jobui.com/company/13258243/products/30869/
厦门三零零网络科技有限公司,一折特卖,471.4万下载量,APP更新：2017.12.06,数据更新：2018.01.28,"百度手机助手,8.3分,144万下载","应用宝,9.4分,122万下载","华为应用市场,8.0分,111.3万下载","360手机助手,8.8分,57万下载","魅族应用商店,9.6分,35.9万下载","豌豆荚,暂无,1.2万下载","小米应用商店,7.0分,暂无",,,,http://www.jobui.com/company/13016667/products/13190/
上海智哦熙信息技术有限公司,M18趣天麦网,30.7万下载量,APP更新：2017.12.08,数据更新：2018.01.28,"应用宝,6.4分,17万下载","豌豆荚,暂无,10.9万下载","魅族应用商店,9.4分,2.8万下载","小米应用商店,7.0分,暂无",,,,,,,http://www.jobui.com/company/9827795/products/30433/
广州易物研选网络科技有限公司,易物研选,40万下载量,APP更新：2018.01.22,数据更新：2018.01.28,"360手机助手,9.8分,21万下载","百度手机助手,10分,19万下载","小米应用商店,10分,暂无",,,,,,,,http://www.jobui.com/company/14222664/products/68114/
成都艾美控网络科技有限公司,龙券网,14.5万下载量,随时随地免费领取网购优惠券还能积分赚礼品的应用。,APP更新：2017.07.14,"应用宝,7.8分,12万下载","豌豆荚,暂无,2.2万下载","魅族应用商店,7.4分,2918下载","小米应用商店,5.0分,暂无",,,,,,,http://www.jobui.com/company/10332306/products/30946/
无锡摩笔世纪科技有限公司,券券优惠券,331.2万下载量,淘宝网购优惠券,APP更新：2017.12.31,"百度手机助手,9.9分,185万下载","魅族应用商店,10分,57.9万下载","应用宝,9.8分,48万下载","360手机助手,9.8分,22万下载","华为应用市场,7.0分,18万下载","豌豆荚,暂无,3090下载",,,,,http://www.jobui.com/company/8905420/products/75639/
掌合天下（北京）信息技术有限公司,掌合商城,39.2万下载量,APP更新：2018.01.04,数据更新：2018.01.28,"应用宝,8.2分,27万下载","豌豆荚,暂无,7.2万下载","360手机助手,6.4分,3万下载","魅族应用商店,10分,2万下载",,,,,,,http://www.jobui.com/company/11712670/products/39492/
乐友(中国)超市连锁有限公司,乐友,359.3万下载量,母婴购物平台,APP更新：2018.01.22,"华为应用市场,10分,177.9万下载","应用宝,9.8分,48万下载","豌豆荚,暂无,44.4万下载","百度手机助手,8.7分,37万下载","360手机助手,8.7分,20万下载","魅族应用商店,9.6分,17万下载","OPPO软件商店,10分,15万下载","苹果应用市场,9.0分,暂无","小米应用商店,10分,暂无",,http://www.jobui.com/company/8859317/products/13415/
杭州厚通网络科技有限公司,速邮汇,16.2万下载量,速邮汇,APP更新：2018.01.01,"应用宝,10分,8.2万下载","百度手机助手,10分,5万下载","360手机助手,9.8分,2万下载","华为应用市场,6.0分,4703下载","OPPO软件商店,暂无,3000下载","魅族应用商店,暂无,1450下载","豌豆荚,暂无,1215下载","小米应用商店,暂无,暂无",,,http://www.jobui.com/company/679567/products/31158/
深圳市淘海科技有限公司,Hai360海外购,12.7万下载量,亚马逊海外代购，美亚正品海淘，全球购免税店,APP更新：2016.06.22,"豌豆荚,8.3分,7.7万下载","百度手机助手,8.5分,5万下载","小米应用商店,8.0分,暂无",,,,,,,,http://www.jobui.com/company/11008430/products/47605/
蜘点商业网络服务有限公司,蜘点商城,24.2万下载量,APP更新：2017.12.26,数据更新：2018.01.28,"华为应用市场,9.0分,14.2万下载","百度手机助手,10分,9万下载","360手机助手,7.6分,1万下载","小米应用商店,暂无,暂无",,,,,,,http://www.jobui.com/company/13601351/products/67924/
淘车位科技（广州）有限公司,淘车位e共享停车,22.9万下载量,每月省出一箱汽油,APP更新：2018.01.19,"华为应用市场,5.0分,9.5万下载","应用宝,10分,4.7万下载","360手机助手,9.0分,4万下载","百度手机助手,10分,3万下载","魅族应用商店,2.0分,1.6万下载","豌豆荚,暂无,1365下载",,,,,http://www.jobui.com/company/14369348/products/78285/
北京瑞驰小蜂科技有限公司,小蜂e家,6.4万下载量,APP更新：2017.12.21,数据更新：2018.01.22,"应用宝,8.4分,3.1万下载","360手机助手,6.3分,3万下载","豌豆荚,暂无,2985下载","魅族应用商店,暂无,89下载",,,,,,,http://www.jobui.com/company/11935692/products/22895/
淄博追梦网络科技有限公司,必中夺宝,264.2万下载量,必中夺宝，一元秒杀，海量商品等你拿,APP更新：2016.08.19,"豌豆荚,10分,248.2万下载","应用宝,10分,16万下载",,,,,,,,,http://www.jobui.com/company/13492152/products/30405/
三江购物俱乐部股份有限公司,三江购物,6万下载量,APP更新：2017.12.21,数据更新：2018.01.22,"豌豆荚,暂无,2万下载","应用宝,暂无,1.8万下载","OPPO软件商店,2.0分,1万下载","百度手机助手,暂无,5496下载","360手机助手,7.2分,4392下载","魅族应用商店,暂无,2102下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/8040759/products/30384/
上海萌萃信息科技有限公司,卖萌货,172.8万下载量,找萌物，上卖萌货,APP更新：2017.02.17,"百度手机助手,9.6分,89万下载","360手机助手,8.5分,21万下载","OPPO软件商店,10分,20万下载","华为应用市场,10分,14.9万下载","应用宝,9.6分,13万下载","魅族应用商店,9.2分,10.2万下载","豌豆荚,10分,4.6万下载","小米应用商店,10分,暂无",,,http://www.jobui.com/company/12740584/products/30948/
北京极美国际科技有限公司,全球购,8.1万下载量,奥特莱斯海外购，国际大牌二折起，告别海淘代购,APP更新：2016.12.28,"360手机助手,9.1分,3万下载","应用宝,9.8分,2.5万下载","华为应用市场,10分,1.9万下载","OPPO软件商店,4.0分,5000下载","豌豆荚,暂无,1635下载","魅族应用商店,暂无,1087下载","苹果应用市场,9.0分,暂无","小米应用商店,9.0分,暂无",,,http://www.jobui.com/company/11893148/products/39557/
深圳市捷富科技有限公司,二手电动车,11.7万下载量,APP更新：2014.12.15,数据更新：2017.09.29,"百度手机助手,4.3分,9万下载","豌豆荚,暂无,2.4万下载","魅族应用商店,2.0分,2888下载",,,,,,,,http://www.jobui.com/company/11658390/products/30401/
深圳全民易购贸易有限公司,全民易购,47.2万下载量,万众创业全民创富,APP更新：2017.10.16,"360手机助手,9.5分,24万下载","百度手机助手,暂无,18万下载","OPPO软件商店,暂无,3万下载","应用宝,10分,2万下载","华为应用市场,6.0分,1401下载","豌豆荚,暂无,720下载","魅族应用商店,暂无,158下载","小米应用商店,暂无,暂无",,,http://www.jobui.com/company/13397628/products/39881/
厦门阳光物语贸易有限公司,美折折扣,14.4万下载量,APP更新：2015.02.05,数据更新：2018.01.28,"应用宝,9.0分,9.3万下载","360手机助手,7.5分,3万下载","豌豆荚,暂无,1.1万下载","百度手机助手,10分,1万下载","小米应用商店,暂无,暂无",,,,,,http://www.jobui.com/company/1286976/products/23132/
厦门易天网络科技有限公司,易集分2、,58.5万下载量,拼团立省开团即赚,APP更新：2018.01.23,"应用宝,9.8分,54万下载","豌豆荚,4.0分,2.7万下载","魅族应用商店,6.4分,1.8万下载",,,,,,,,http://www.jobui.com/company/14621607/products/75619/
江苏车置宝信息科技股份有限公司,车置宝车商版,9.6万下载量,经销商竞拍客户端,APP更新：2018.01.19,"应用宝,5.0分,5万下载","豌豆荚,暂无,3.5万下载","魅族应用商店,2.0分,1.1万下载",,,,,,,,http://www.jobui.com/company/12853395/products/78265/
上海联儒信息技术有限公司,哈驴,15.9万下载量,APP更新：2017.12.21,数据更新：2018.01.22,"百度手机助手,暂无,9万下载","360手机助手,9.7分,6万下载","华为应用市场,6.0分,9198下载","魅族应用商店,10分,297下载","小米应用商店,暂无,暂无",,,,,,http://www.jobui.com/company/9028017/products/68273/
上海蝶翠诗商业有限公司,DHC,10.7万下载量,新客户端上线,APP更新：2017.09.07,"应用宝,6.0分,2.9万下载","百度手机助手,8.0分,2万下载","豌豆荚,暂无,2万下载","360手机助手,5.8分,2万下载","华为应用市场,3.0分,1.5万下载","魅族应用商店,7.6分,3287下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/664488/products/72579/
无锡买卖宝信息技术有限公司,95折充话费,7万下载量,APP更新：2015.01.16,数据更新：2017.09.29,"应用宝,4.2分,2.3万下载","360手机助手,5.1分,2万下载","豌豆荚,暂无,1.6万下载","百度手机助手,7.5分,1万下载","魅族应用商店,暂无,684下载",,,,,,http://www.jobui.com/company/8927119/products/31076/
湖南映山红科技有限公司,鱼鹰,7.1万下载量,动动手指就能赚钱,APP更新：2017.06.24,"豌豆荚,6.7分,5.3万下载","百度手机助手,10分,1万下载","华为应用市场,6.0分,4564下载","应用宝,暂无,2001下载","魅族应用商店,8.0分,1445下载",,,,,,http://www.jobui.com/company/13555361/products/76163/
广州小朋网络科技有限公司,朋友玩,174.4万下载量,APP更新：2017.03.03,数据更新：2018.01.28,"360手机助手,9.9分,105万下载","百度手机助手,9.9分,29万下载","豌豆荚,暂无,22.4万下载","应用宝,9.8分,18万下载","小米应用商店,10分,暂无",,,,,,http://www.jobui.com/company/12779306/products/13575/
杭州棒米科技有限公司,棒米,19.4万下载量,怀孕备孕经期管理,APP更新：2018.01.26,"百度手机助手,10分,7万下载","华为应用市场,10分,5.9万下载","360手机助手,9.8分,3万下载","应用宝,9.8分,1.8万下载","豌豆荚,暂无,9255下载","魅族应用商店,7.8分,7767下载","小米应用商店,7.0分,暂无",,,,http://www.jobui.com/company/12353703/products/16893/
广州智选网络科技有限公司,精明购,414万下载量,查附近促销换好礼,APP更新：2017.12.29,"应用宝,10分,196万下载","百度手机助手,9.6分,104万下载","华为应用市场,6.0分,57.9万下载","魅族应用商店,9.2分,22.8万下载","360手机助手,9.0分,18万下载","豌豆荚,8.8分,15.2万下载","小米应用商店,4.0分,暂无",,,,http://www.jobui.com/company/12174259/products/13260/
北京三领讯弘科技有限公司,流量咪,18.8万下载量,APP更新：2017.11.01,数据更新：2018.01.28,"百度手机助手,10分,13万下载","360手机助手,9.8分,4万下载","魅族应用商店,9.8分,1.8万下载","小米应用商店,9.0分,暂无",,,,,,,http://www.jobui.com/company/12629364/products/68245/
山西云购电子商务有限公司,云购全球,255万下载量,一元购 惊喜无限,APP更新：2017.08.25,"OPPO软件商店,4.0分,85万下载","百度手机助手,7.8分,72万下载","豌豆荚,1.0分,39.4万下载","华为应用市场,4.0分,34.6万下载","应用宝,7.0分,24万下载",,,,,,http://www.jobui.com/company/13414784/products/31313/
上海拿米金融信息服务有限公司,一刻千金,297.2万下载量,想买就能买~,APP更新：2018.01.18,"应用宝,9.4分,73万下载","360手机助手,9.6分,69万下载","百度手机助手,4.9分,52万下载","豌豆荚,8.9分,51.8万下载","华为应用市场,4.0分,25万下载","魅族应用商店,9.4分,16.4万下载","OPPO软件商店,4.0分,10万下载","小米应用商店,10分,暂无",,,http://www.jobui.com/company/12841989/products/39446/
北京十月逸栈科技有限公司,蛋糕蛋糕,5.9万下载量,蛋糕蛋糕、一个很厉害的蛋糕商城！,APP更新：2017.08.31,"华为应用市场,10分,2.2万下载","豌豆荚,暂无,2.2万下载","应用宝,9.0分,7628下载","百度手机助手,10分,5246下载","魅族应用商店,6.8分,1536下载","360手机助手,7.8分,785下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/10914152/products/39588/
北京奇虎科技有限公司,360团购,39.2万下载量,团购 优惠 购物 生活 美容 商品 城市 团购网  便捷,APP更新：2016.10.25,"豌豆荚,4.5分,35.1万下载","应用宝,5.8分,4.1万下载",,,,,,,,,http://www.jobui.com/company/9148866/products/30638/
广州友商信息科技有限公司,多商网,10.7万下载量,APP更新：2017.12.12,数据更新：2018.01.28,"百度手机助手,9.9分,8万下载","华为应用市场,10分,1.4万下载","360手机助手,9.7分,1万下载","魅族应用商店,10分,3009下载","小米应用商店,8.0分,暂无",,,,,,http://www.jobui.com/company/12521809/products/68550/
洛阳春笋网络科技有限公司,春笋红包,15.1万下载量,APP更新：2017.12.21,数据更新：2018.01.28,"应用宝,7.8分,5.7万下载","豌豆荚,4.8分,4.9万下载","360手机助手,7.8分,2万下载","百度手机助手,9.4分,2万下载","魅族应用商店,8.2分,5153下载",,,,,,http://www.jobui.com/company/12557788/products/13473/
成都我来啦网格信息技术有限公司,速递易,573.3万下载量,让包裹交付更简单,APP更新：2018.01.26,"华为应用市场,6.0分,134万下载","百度手机助手,6.7分,107万下载","应用宝,6.2分,101万下载","豌豆荚,5.4分,85.1万下载","360手机助手,4.1分,65万下载","魅族应用商店,7.4分,51.2万下载","OPPO软件商店,5.0分,30万下载","苹果应用市场,5.0分,暂无","小米应用商店,3.0分,暂无",,http://www.jobui.com/company/11337764/products/31102/
浙江虹越花卉股份有限公司,虹越,7.6万下载量,创新园艺生活,APP更新：2018.01.18,"豌豆荚,暂无,4.2万下载","应用宝,7.0分,2.9万下载","魅族应用商店,6.0分,4795下载","小米应用商店,暂无,暂无",,,,,,,http://www.jobui.com/company/11370004/products/30343/
深圳市载乐网络科技有限公司,Okey Dokey,16.5万下载量,专注高性价比科技产品的晒物分享、专业导购平台,APP更新：2016.10.24,"魅族应用商店,8.6分,5.7万下载","华为应用市场,7.0分,3.1万下载","应用宝,6.6分,3万下载","豌豆荚,10分,3万下载","360手机助手,7.5分,1万下载","OPPO软件商店,7.0分,7000下载","小米应用商店,9.0分,暂无",,,,http://www.jobui.com/company/11663508/products/31340/
北京梦搜移动通信技术有限公司,床上用品,12.3万下载量,APP更新：2014.09.02,数据更新：2018.01.28,"豌豆荚,暂无,11.8万下载","百度手机助手,暂无,4195下载","360手机助手,6.0分,1070下载","应用宝,暂无,10下载",,,,,,,http://www.jobui.com/company/979775/products/47702/
深圳市云商微店网络技术有限公司,微店网,277.5万下载量,优质货源轻松赚分,APP更新：2017.03.28,"百度手机助手,8.7分,96万下载","应用宝,8.4分,69万下载","360手机助手,8.4分,54万下载","华为应用市场,8.0分,28.4万下载","豌豆荚,6.7分,25.9万下载","OPPO软件商店,5.0分,3万下载","魅族应用商店,4.8分,1.2万下载","小米应用商店,5.0分,暂无",,,http://www.jobui.com/company/11002194/products/15302/
北京同城必应科技有限公司,闪送,645.5万下载量,1小时同城快递,APP更新：2017.12.30,"华为应用市场,8.0分,243.2万下载","豌豆荚,7.5分,120.1万下载","百度手机助手,8.5分,110万下载","魅族应用商店,10分,69.2万下载","应用宝,9.8分,68万下载","360手机助手,9.7分,35万下载",,,,,http://www.jobui.com/company/11640776/products/76203/
山东金蚂蚁网络科技有限公司,蚂蚁引路,27.9万下载量,买啥都便宜！,APP更新：2017.12.26,"应用宝,10分,11万下载","百度手机助手,暂无,6万下载","魅族应用商店,10分,5.5万下载","豌豆荚,10分,5.3万下载","华为应用市场,6.0分,824下载","360手机助手,6.0分,55下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/13941283/products/30851/
,,,,,,,,,,,,,,,
宁波海上鲜信息技术有限公司,海上鲜,13.3万下载量,海鲜交易B2B,APP更新：2018.01.08,"360手机助手,7.6分,11万下载","百度手机助手,10分,8481下载","应用宝,10分,7552下载","豌豆荚,暂无,5670下载","魅族应用商店,10分,1495下载",,,,,,http://www.jobui.com/company/12229963/products/71759/
四川公用信息产业有限责任公司,天虎云商,333.7万下载量,掌上天虎是四川特产商城“天虎云商”推出的，为满足移动式生活消费和线上购物需求的软件客户端。,APP更新：2017.12.07,"360手机助手,9.8分,102万下载","魅族应用商店,10分,75.3万下载","豌豆荚,暂无,63.5万下载","华为应用市场,9.0分,45.1万下载","百度手机助手,10分,43万下载","应用宝,10分,3.8万下载","OPPO软件商店,10分,1万下载","小米应用商店,10分,暂无",,,http://www.jobui.com/company/721383/products/30607/
珠海麒润网络科技有限公司,91淘金,481.2万下载量,91淘金，边玩边赚的手机赚钱平台,APP更新：2017.08.02,"豌豆荚,9.8分,201.2万下载","百度手机助手,9.9分,180万下载","应用宝,9.8分,100万下载",,,,,,,,http://www.jobui.com/company/697821/products/31305/
深圳市卖货郎信息技术有限公司,卖货郎,19.5万下载量,APP更新：2018.01.16,数据更新：2018.01.22,"360手机助手,9.9分,12万下载","百度手机助手,7.3分,5万下载","华为应用市场,4.0分,2.1万下载","魅族应用商店,暂无,3971下载","小米应用商店,10分,暂无",,,,,,http://www.jobui.com/company/12045667/products/68473/
北京优购文化发展有限公司,优品惠优购物,277.9万下载量,APP更新：2018.01.23,数据更新：2018.01.29,"应用宝,8.0分,176万下载","华为应用市场,7.0分,101.9万下载",,,,,,,,,http://www.jobui.com/company/7975261/products/43395/
东莞市掌商信息科技有限公司,O2O鞋城,9万下载量,APP更新：2015.04.08,数据更新：2018.01.28,"360手机助手,7.5分,7万下载","应用宝,2.0分,1.8万下载","豌豆荚,暂无,1725下载","百度手机助手,暂无,613下载","魅族应用商店,暂无,139下载",,,,,,http://www.jobui.com/company/11064775/products/47642/
JD京东商城,京东Joy,15.2万下载量,APP更新：2017.11.18,数据更新：2018.01.28,"豌豆荚,4.8分,8万下载","应用宝,5.8分,5.2万下载","360手机助手,5.0分,2万下载","小米应用商店,2.0分,暂无",,,,,,,http://www.jobui.com/company/11035039/products/30368/
北京一猫汽车科技有限公司,一猫汽车网,6.5万下载量,买汽车 上一猫,APP更新：2018.01.17,"豌豆荚,暂无,2.8万下载","华为应用市场,10分,1.8万下载","应用宝,6.0分,6655下载","百度手机助手,暂无,5217下载","360手机助手,7.2分,4548下载","魅族应用商店,10分,3383下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/11381747/products/47585/
重庆固守大数据有限公司,惠工之家,23.2万下载量,分享惠工福利！,APP更新：2017.02.27,"360手机助手,7.5分,12万下载","应用宝,10分,11万下载","华为应用市场,6.0分,1141下载","豌豆荚,暂无,1005下载","魅族应用商店,10分,247下载","小米应用商店,暂无,暂无",,,,,http://www.jobui.com/company/13072348/products/70686/
贵州指趣网络科技有限公司,淘手游官方版本,295.8万下载量,手游交易第一平台,APP更新：2018.01.16,"应用宝,8.2分,153万下载","豌豆荚,7.7分,119万下载","魅族应用商店,4.0分,23.8万下载","小米应用商店,3.0分,暂无",,,,,,,http://www.jobui.com/company/12009427/products/77155/
淄博天甲网络科技服务有限公司,爱·工惠,28.1万下载量,APP更新：2017.07.26,数据更新：2018.01.28,"豌豆荚,暂无,17.7万下载","应用宝,暂无,9万下载","魅族应用商店,10分,1.4万下载","小米应用商店,暂无,暂无",,,,,,,http://www.jobui.com/company/12490636/products/30629/
南昌导购通网络信息技术有限公司,导购通,9.6万下载量,导购通，每天发现物超所值！,APP更新：2016.01.26,"应用宝,10分,5.2万下载","豌豆荚,暂无,4.3万下载","百度手机助手,暂无,528下载",,,,,,,,http://www.jobui.com/company/9036519/products/30928/
